id;actor;session_uuid;object_id;score;temps;total_ecrans
179;ga2018_swv8@yopmail.com;session-5844;698-nescens-programm;0.00;215.00;2
180;ga2018_swv8@yopmail.com;session-5849;699-die-dienstleistungen-f-r-den-patienten;100.00;395.00;18
181;ga2018_swv8@yopmail.com;session-5923;700-die-qualitat;0.00;515.00;12
182;ga2018_swv8@yopmail.com;session-5940;701-informatik;100.00;150.00;4
183;ga2018_swv8@yopmail.com;session-5974;702-personal-vorsorge-und-mitarbeiterbeurteilung;100.00;198.00;7
184;ga2018_swv8@yopmail.com;session-6007;703-ausbildung;0.00;133.00;5
185;ga2018_swv8@yopmail.com;session-6032;704-genolier-foundation;100.00;98.00;3
186;ga2018_swv8@yopmail.com;session-6067;706-quiz-1;100.00;534.00;14
187;ga2018_b5zu@yopmail.com;session-6132;;0.00;0.00;0
188;ga2018_b5zu@yopmail.com;session-6163;719-strategia-e-crescita;100.00;336.00;6
189;ga2018_swv8@yopmail.com;session-6196;705-quiz-2;100.00;448.00;12
190;ga2018_b5zu@yopmail.com;session-6263;722-affari-medicali;100.00;262.00;12
191;ga2018_b5zu@yopmail.com;session-6393;695-politica-e-quadro-legale;100.00;561.00;11
192;ga2018_b5zu@yopmail.com;session-6511;707-corporate-marketing-e-comunicazione;100.00;207.00;10
193;ga2018_b5zu@yopmail.com;session-6548;709-programma-nescens;0.00;42.00;2
194;ga2018_b5zu@yopmail.com;session-6551;708-i-servizi-ai-pazienti;100.00;298.00;18
198;ga2018_vy6c@yopmail.com;session-6592;693-presentazione;100.00;304.00;8
200;ga2018_vy6c@yopmail.com;session-6639;719-strategia-e-crescita;100.00;273.00;6
201;ga2018_vy6c@yopmail.com;session-6646;722-affari-medicali;80.00;348.00;12
202;ga2018_vy6c@yopmail.com;session-6659;695-politica-e-quadro-legale;67.00;15212.00;11
203;ga2018_vy6c@yopmail.com;session-6709;707-corporate-marketing-e-comunicazione;79.00;656.00;10
204;ga2018_vy6c@yopmail.com;session-6732;709-programma-nescens;0.00;31.00;2
205;ga2018_vy6c@yopmail.com;session-6735;708-i-servizi-ai-pazienti;100.00;1684.00;18
206;ga2018_vy6c@yopmail.com;session-6792;710-la-qualita;0.00;307.00;12
207;ga2018_vy6c@yopmail.com;session-6807;713-informatica;50.00;143.00;4
208;ga2018_vy6c@yopmail.com;session-6812;714-risorse-umane-previdenza;100.00;505.00;7
209;ga2018_vy6c@yopmail.com;session-6820;712-formazione;0.00;105.00;5
210;ga2018_vy6c@yopmail.com;session-6836;715-fondazione-genolier;67.00;1283.00;3
211;ga2018_n6m4@yopmail.com;session-6923;693-presentazione;67.00;323.00;8
213;ga2018_qhws@yopmail.com;session-6983;686-quiz-2;59.00;112.00;12
214;ga2018_3a7j@yopmail.com;session-6996;692-quiz-1;72.00;826.00;14
215;ga2018_3a7j@yopmail.com;session-7016;686-quiz-2;73.00;1016.00;12
216;ga2018_wm5r@yopmail.com;session-7023;694-vorstellung;78.00;1490.00;8
217;ga2018_3a7j@yopmail.com;session-7037;671-presentation;100.00;468.00;8
219;ga2018_3a7j@yopmail.com;session-7052;674-strategie-et-croissance;75.00;188.00;6
220;ga2018_3a7j@yopmail.com;session-7059;677-affaires-medicales;100.00;352.00;12
221;ga2018_3a7j@yopmail.com;session-7072;678-politique-et-cadre-legal;38.00;431.00;11
223;ga2018_3a7j@yopmail.com;session-7113;681-corporate-marketing-et-communication;73.00;317.00;10
224;ga2018_wm5r@yopmail.com;session-7115;;0.00;0.00;0
225;ga2018_3a7j@yopmail.com;session-7139;683-programme-nescens;0.00;92.00;2
226;ga2018_wm5r@yopmail.com;session-7163;696-strategie-und-wachstum;75.00;123.00;6
227;ga2018_3a7j@yopmail.com;session-7180;682-les-services-aux-patients;33.00;382.00;18
228;ga2018_wm5r@yopmail.com;session-7185;723-medizinischer-bereich;100.00;129.00;12
229;ga2018_wm5r@yopmail.com;session-7208;678-politique-et-cadre-legal;0.00;47.00;11
230;ga2018_wm5r@yopmail.com;session-7242;697-corporate-marketing-und-kommunikation;50.00;100.00;10
231;ga2018_wm5r@yopmail.com;session-7255;698-nescens-programm;0.00;45.00;2
232;ga2018_wm5r@yopmail.com;session-7261;699-die-dienstleistungen-f-r-den-patienten;33.00;146.00;18
233;ga2018_v85a@yopmail.com;session-7271;694-vorstellung;67.00;1152.00;8
234;ga2018_wm5r@yopmail.com;session-7282;700-die-qualitat;0.00;70.00;12
235;ga2018_3a7j@yopmail.com;session-7292;687-la-qualite;0.00;0.00;12
236;ga2018_wm5r@yopmail.com;session-7297;701-informatik;50.00;49.00;4
237;ga2018_wm5r@yopmail.com;session-7304;702-personal-vorsorge-und-mitarbeiterbeurteilung;100.00;98.00;7
238;ga2018_wm5r@yopmail.com;session-7314;703-ausbildung;0.00;60.00;5
239;ga2018_wm5r@yopmail.com;session-7331;704-genolier-foundation;67.00;77.00;3
240;ga2018_wm5r@yopmail.com;session-7336;706-quiz-1;80.00;141.00;14
241;ga2018_wm5r@yopmail.com;session-7359;705-quiz-2;50.00;127.00;12
243;ga2018_v85a@yopmail.com;session-7445;696-strategie-und-wachstum;25.00;209.00;6
244;ga2018_u33w@yopmail.com;session-7614;681-corporate-marketing-et-communication;54.00;316.00;10
245;ga2018_u33w@yopmail.com;session-7625;683-programme-nescens;0.00;246.00;2
246;ga2018_u33w@yopmail.com;session-7630;682-les-services-aux-patients;50.00;282.00;18
247;ga2018_u33w@yopmail.com;session-7651;687-la-qualite;0.00;562.00;12
248;ga2018_u33w@yopmail.com;session-7668;684-informatique;50.00;112.00;4
249;ga2018_u33w@yopmail.com;session-7673;689-rh-prevoyance-et-evaluation;100.00;1053.00;7
250;ga2018_u33w@yopmail.com;session-7684;690-formation;0.00;1044.00;5
251;ga2018_gafw@yopmail.com;session-7702;694-vorstellung;100.00;219.00;8
253;ga2018_gafw@yopmail.com;session-7769;696-strategie-und-wachstum;100.00;176.00;6
254;ga2018_gafw@yopmail.com;session-7776;723-medizinischer-bereich;100.00;116.00;12
255;ga2018_gafw@yopmail.com;session-7789;678-politique-et-cadre-legal;29.00;133.00;11
256;ga2018_gafw@yopmail.com;session-7801;699-die-dienstleistungen-f-r-den-patienten;67.00;348.00;18
257;ga2018_gafw@yopmail.com;session-7884;700-die-qualitat;0.00;127.00;12
258;ga2018_gafw@yopmail.com;session-7899;697-corporate-marketing-und-kommunikation;88.00;1955.00;10
259;ga2018_3a7j@yopmail.com;session-7903;684-informatique;75.00;268.00;4
260;ga2018_uufe@yopmail.com;session-7905;694-vorstellung;78.00;470.00;8
262;ga2018_3a7j@yopmail.com;session-7920;689-rh-prevoyance-et-evaluation;100.00;343.00;7
263;ga2018_uufe@yopmail.com;session-7958;696-strategie-und-wachstum;50.00;357.00;6
264;ga2018_3a7j@yopmail.com;session-7969;690-formation;0.00;71.00;5
265;ga2018_3a7j@yopmail.com;session-7975;688-genolier-foundation;56.00;79.00;3
266;ga2018_uufe@yopmail.com;session-7980;723-medizinischer-bereich;80.00;413.00;12
267;ga2018_uufe@yopmail.com;session-7993;678-politique-et-cadre-legal;50.00;326.00;11
268;ga2018_uufe@yopmail.com;session-8014;697-corporate-marketing-und-kommunikation;75.00;369.00;10
269;ga2018_uufe@yopmail.com;session-8025;698-nescens-programm;0.00;13.00;2
270;ga2018_b5zu@yopmail.com;session-8129;710-la-qualita;0.00;228.00;12
271;ga2018_b5zu@yopmail.com;session-8145;713-informatica;100.00;76.00;4
272;ga2018_b5zu@yopmail.com;session-8159;714-risorse-umane-previdenza;100.00;181.00;7
273;ga2018_b5zu@yopmail.com;session-8183;712-formazione;0.00;98.00;5
274;ga2018_b5zu@yopmail.com;session-8229;715-fondazione-genolier;100.00;48.00;3
275;ga2018_b5zu@yopmail.com;session-8237;716-quiz-1;69.00;388.00;14
276;ga2018_b5zu@yopmail.com;session-8322;717-quiz-2;73.00;255.00;12
277;ga2018_lb2j@yopmail.com;session-8381;671-presentation;100.00;285.00;8
279;ga2018_lb2j@yopmail.com;session-8448;674-strategie-et-croissance;100.00;163.00;6
280;ga2018_lb2j@yopmail.com;session-8489;677-affaires-medicales;60.00;186.00;12
281;ga2018_lb2j@yopmail.com;session-8550;678-politique-et-cadre-legal;73.00;436.00;11
282;ga2018_lb2j@yopmail.com;session-8638;681-corporate-marketing-et-communication;73.00;86.00;10
283;ga2018_lb2j@yopmail.com;session-8659;683-programme-nescens;0.00;121.00;2
284;ga2018_lb2j@yopmail.com;session-8662;682-les-services-aux-patients;67.00;192.00;18
285;ga2018_lb2j@yopmail.com;session-8733;687-la-qualite;0.00;398.00;12
286;ga2018_lb2j@yopmail.com;session-8763;684-informatique;50.00;44.00;4
287;ga2018_ahdv@yopmail.com;session-8766;671-presentation;100.00;4265.00;8
288;ga2018_lb2j@yopmail.com;session-8769;689-rh-prevoyance-et-evaluation;100.00;91.00;7
289;ga2018_lb2j@yopmail.com;session-8792;690-formation;0.00;87.00;5
290;ga2018_lb2j@yopmail.com;session-8812;688-genolier-foundation;67.00;30.00;3
291;ga2018_lb2j@yopmail.com;session-8822;692-quiz-1;85.00;377.00;14
292;ga2018_lb2j@yopmail.com;session-8842;686-quiz-2;85.00;255.00;12
293;ga2018_4bmv@yopmail.com;session-8857;671-presentation;100.00;331.00;8
294;ga2018_nszc@yopmail.com;session-8866;692-quiz-1;100.00;2579.00;14
296;ga2018_ahdv@yopmail.com;session-8934;674-strategie-et-croissance;25.00;406.00;6
297;ga2018_ahdv@yopmail.com;session-8966;677-affaires-medicales;80.00;640.00;12
298;ga2018_nszc@yopmail.com;session-8969;686-quiz-2;94.00;1711.00;12
299;ga2018_ahdv@yopmail.com;session-9005;678-politique-et-cadre-legal;60.00;2863.00;11
300;ga2018_shfh@yopmail.com;session-9013;694-vorstellung;44.00;1705.00;8
301;ga2018_0dhn@yopmail.com;session-9029;671-presentation;100.00;240.00;8
303;ga2018_0dhn@yopmail.com;session-9098;674-strategie-et-croissance;75.00;223.00;6
304;ga2018_0dhn@yopmail.com;session-9117;677-affaires-medicales;80.00;712.00;12
305;ga2018_0dhn@yopmail.com;session-9131;678-politique-et-cadre-legal;94.00;669.00;11
306;ga2018_0dhn@yopmail.com;session-9150;681-corporate-marketing-et-communication;100.00;159.00;10
307;ga2018_ahdv@yopmail.com;session-9154;681-corporate-marketing-et-communication;92.00;585.00;10
308;ga2018_0dhn@yopmail.com;session-9182;683-programme-nescens;0.00;11.00;2
309;ga2018_0dhn@yopmail.com;session-9200;682-les-services-aux-patients;67.00;128.00;18
310;ga2018_0dhn@yopmail.com;session-9248;687-la-qualite;0.00;12.00;12
311;ga2018_0dhn@yopmail.com;session-9261;684-informatique;100.00;43.00;4
312;ga2018_0dhn@yopmail.com;session-9271;689-rh-prevoyance-et-evaluation;100.00;106.00;7
313;ga2018_ahdv@yopmail.com;session-9284;683-programme-nescens;0.00;40.00;2
314;ga2018_0dhn@yopmail.com;session-9295;690-formation;0.00;38.00;5
315;ga2018_ahdv@yopmail.com;session-9309;682-les-services-aux-patients;92.00;671.00;18
316;ga2018_0dhn@yopmail.com;session-9313;688-genolier-foundation;100.00;45.00;3
317;ga2018_0dhn@yopmail.com;session-9326;692-quiz-1;82.00;121.00;14
318;ga2018_0dhn@yopmail.com;session-9363;686-quiz-2;100.00;111.00;12
319;ga2018_ahdv@yopmail.com;session-9390;687-la-qualite;0.00;3608.00;12
320;ga2018_u33w@yopmail.com;session-9395;688-genolier-foundation;22.00;85.00;3
321;ga2018_s51d@yopmail.com;session-9448;682-les-services-aux-patients;33.00;428.00;18
322;ga2018_s51d@yopmail.com;session-9481;687-la-qualite;0.00;473.00;12
323;ga2018_ahdv@yopmail.com;session-9487;684-informatique;75.00;1039.00;4
324;ga2018_s51d@yopmail.com;session-9501;671-presentation;44.00;1597.00;8
325;ga2018_ahdv@yopmail.com;session-9506;689-rh-prevoyance-et-evaluation;100.00;362.00;7
326;ga2018_ahdv@yopmail.com;session-9516;690-formation;0.00;1613.00;5
328;ga2018_ahdv@yopmail.com;session-9691;688-genolier-foundation;56.00;276.00;3
329;ga2018_ahdv@yopmail.com;session-9706;692-quiz-1;85.00;3881.00;14
330;ga2018_s51d@yopmail.com;session-9776;674-strategie-et-croissance;50.00;1095.00;6
331;ga2018_s51d@yopmail.com;session-9802;677-affaires-medicales;0.00;4.00;12
332;ga2018_qfzc@yopmail.com;session-9806;671-presentation;100.00;130.00;8
334;ga2018_ahdv@yopmail.com;session-9860;686-quiz-2;74.00;933.00;12
335;ga2018_qfzc@yopmail.com;session-9883;674-strategie-et-croissance;75.00;69.00;6
336;ga2018_qfzc@yopmail.com;session-9899;677-affaires-medicales;80.00;169.00;12
337;ga2018_qfzc@yopmail.com;session-9919;678-politique-et-cadre-legal;79.00;387.00;11
338;ga2018_qfzc@yopmail.com;session-9966;682-les-services-aux-patients;58.00;201.00;18
339;ga2018_s51d@yopmail.com;session-10000;678-politique-et-cadre-legal;0.00;34.00;11
340;ga2018_qfzc@yopmail.com;session-10008;687-la-qualite;0.00;480.00;12
342;ga2018_qfzc@yopmail.com;session-10105;684-informatique;75.00;118.00;4
343;ga2018_qfzc@yopmail.com;session-10145;689-rh-prevoyance-et-evaluation;100.00;114.00;7
344;ga2018_qfzc@yopmail.com;session-10174;690-formation;0.00;66.00;5
345;ga2018_qfzc@yopmail.com;session-10209;681-corporate-marketing-et-communication;100.00;112.00;10
346;ga2018_s51d@yopmail.com;session-10225;681-corporate-marketing-et-communication;0.00;0.00;10
347;ga2018_u33w@yopmail.com;session-10226;692-quiz-1;62.00;229.00;14
348;ga2018_qfzc@yopmail.com;session-10247;683-programme-nescens;0.00;27.00;2
349;ga2018_qfzc@yopmail.com;session-10253;688-genolier-foundation;100.00;72.00;3
